sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
1,arcade,1337,arcade,12,12000,1337,81,strong fun signal,12,12,44330.667,4.083,11.500,0.000,4.667,0.673934,0.056620,1.000000,25.000,20.000,0.000,15.000,10.000,5.662,5.000,0.778
2,arcade,1338,arcade,12,12000,1338,83,strong fun signal,12,10,56813.833,5.333,17.500,0.000,5.083,0.690857,0.099612,1.000000,25.000,20.000,0.000,15.000,10.000,8.000,5.000,0.000
3,arcade,1339,arcade,12,12000,1339,82,strong fun signal,10,11,43112.083,4.000,11.000,0.083,4.583,0.672504,0.055771,1.000000,25.000,20.000,0.208,15.000,10.000,5.577,5.000,0.972
4,arcade,1340,arcade,12,12000,1340,85,strong fun signal,14,10,55199.083,5.167,16.083,0.167,4.333,0.693884,0.101007,1.000000,25.000,20.000,0.417,15.000,10.000,8.000,5.000,1.556
5,arcade,1341,arcade,12,12000,1341,82,strong fun signal,12,8,38657.250,3.583,10.833,0.083,4.333,0.699089,0.119551,1.000000,22.396,20.000,0.208,15.000,10.000,8.000,5.000,1.556
6,arcade,1342,arcade,12,12000,1342,81,strong fun signal,11,12,42819.667,4.083,12.250,0.250,5.000,0.677643,0.054890,1.000000,25.000,20.000,0.625,15.000,10.000,5.489,5.000,0.000
7,arcade,1343,arcade,12,12000,1343,80,strong fun signal,10,11,40527.917,3.917,12.083,0.000,4.833,0.675325,0.054675,1.000000,24.479,20.000,0.000,15.000,10.000,5.467,5.000,0.389
8,arcade,1344,arcade,12,12000,1344,81,strong fun signal,10,11,45448.750,4.333,13.167,0.167,5.167,0.675399,0.056192,1.000000,25.000,20.000,0.417,15.000,10.000,5.619,5.000,0.000
9,casual,1337,casual,12,12000,1337,73,promising,9,3,44216.167,4.833,13.833,0.083,3.333,0.496434,0.079628,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,3.306
10,casual,1338,casual,12,12000,1338,74,promising,8,6,35746.750,3.833,10.417,0.000,2.917,0.522924,0.110681,1.000000,21.083,14.000,0.000,10.000,8.000,6.000,9.000,6.257
11,casual,1339,casual,12,12000,1339,76,strong fun signal,9,3,45074.333,4.667,13.333,0.083,2.917,0.507911,0.096801,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,6.257
12,casual,1340,casual,12,12000,1340,76,strong fun signal,9,3,37044.000,4.083,11.167,0.083,2.917,0.507773,0.095052,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,6.257
13,casual,1341,casual,12,12000,1341,74,promising,7,4,37578.833,4.000,11.167,0.083,3.167,0.510683,0.095411,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,4.486
14,casual,1342,casual,12,12000,1342,74,promising,8,3,36839.417,3.917,10.833,0.083,3.083,0.544978,0.135234,1.000000,21.542,14.000,0.292,10.000,8.000,6.000,9.000,5.076
15,casual,1343,casual,12,12000,1343,76,strong fun signal,8,4,37603.250,3.917,10.333,0.083,2.750,0.506020,0.091953,1.000000,21.542,14.000,0.292,10.000,8.000,6.000,9.000,7.437
16,casual,1344,casual,12,12000,1344,70,promising,10,4,47832.417,5.167,14.583,0.000,3.667,0.493637,0.076906,1.000000,22.000,14.000,0.000,10.000,8.000,6.000,9.000,0.944
17,survival,1337,survival,12,12000,1337,68,promising,9,3,44412.333,4.667,12.833,0.167,2.917,0.532244,0.097253,1.000000,28.000,12.000,0.333,8.000,8.000,6.000,5.000,1.042
18,survival,1338,survival,12,12000,1338,58,promising,8,5,29536.000,3.083,8.083,0.000,3.333,0.550417,0.121164,1.000000,21.583,9.700,0.000,8.000,8.000,6.000,5.000,0.000
19,survival,1339,survival,12,12000,1339,67,promising,8,4,41629.333,4.500,12.083,0.000,3.417,0.513121,0.078026,1.000000,28.000,12.000,0.000,8.000,8.000,6.000,5.000,0.000
20,survival,1340,survival,12,12000,1340,57,promising,7,3,26075.000,2.750,7.167,0.000,2.833,0.571816,0.141542,1.000000,19.250,8.600,0.000,8.000,8.000,6.000,5.000,2.083
21,survival,1341,survival,12,12000,1341,67,promising,9,4,41824.167,4.667,12.417,0.000,3.583,0.496908,0.057612,1.000000,28.000,12.000,0.000,8.000,8.000,5.761,5.000,0.000
22,survival,1342,survival,12,12000,1342,67,promising,8,2,38010.833,4.083,10.917,0.167,3.167,0.550219,0.116350,1.000000,28.000,12.000,0.333,8.000,8.000,6.000,5.000,0.000
23,survival,1343,survival,12,12000,1343,60,promising,8,1,24326.833,2.583,6.833,0.167,2.500,0.579176,0.149719,1.000000,18.083,8.200,0.333,8.000,8.000,6.000,5.000,6.250
24,survival,1344,survival,12,12000,1344,67,promising,8,3,36899.250,3.917,10.833,0.083,3.167,0.541461,0.112939,1.000000,27.417,12.000,0.167,8.000,8.000,6.000,5.000,0.000
25,aggressive,1337,aggressive,12,12000,1337,77,strong fun signal,6,12,36509.250,3.250,8.000,0.000,4.167,0.734964,0.051469,1.000000,14.625,24.000,0.000,18.000,8.000,6.176,4.000,2.414
26,aggressive,1338,aggressive,12,12000,1338,86,strong fun signal,9,12,51672.333,4.667,13.667,0.083,4.833,0.732136,0.052226,1.000000,18.000,30.000,0.125,18.000,8.000,6.267,4.000,1.694
27,aggressive,1339,aggressive,12,12000,1339,86,strong fun signal,17,11,58402.417,5.167,17.417,0.083,4.583,0.739462,0.052879,1.000000,18.000,30.000,0.125,18.000,8.000,6.345,4.000,1.964
28,aggressive,1340,aggressive,12,12000,1340,87,strong fun signal,10,12,50643.167,4.417,12.833,0.083,4.250,0.737071,0.053084,1.000000,18.000,30.000,0.125,18.000,8.000,6.370,4.000,2.324
29,aggressive,1341,aggressive,12,12000,1341,87,strong fun signal,10,12,57961.583,5.167,15.250,0.000,4.417,0.732432,0.053598,1.000000,18.000,30.000,0.000,18.000,8.000,6.432,4.000,2.144
30,aggressive,1342,aggressive,12,12000,1342,86,strong fun signal,13,12,47500.750,4.167,13.000,0.250,4.667,0.733597,0.051784,1.000000,18.000,30.000,0.375,18.000,8.000,6.214,4.000,1.874
31,aggressive,1343,aggressive,12,12000,1343,86,strong fun signal,11,12,47853.750,4.333,12.667,0.000,4.917,0.734989,0.051692,1.000000,18.000,30.000,0.000,18.000,8.000,6.203,4.000,1.604
32,aggressive,1344,aggressive,12,12000,1344,86,strong fun signal,11,12,47716.583,4.333,11.917,0.083,4.667,0.739725,0.052513,1.000000,18.000,30.000,0.125,18.000,8.000,6.302,4.000,1.874
