sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
1,arcade,1337,arcade,12,12000,1337,81,strong fun signal,10,12,43764.917,4.083,11.750,0.083,4.833,0.673856,0.056035,1.000000,25.000,20.000,0.208,15.000,10.000,5.603,5.000,0.389
2,arcade,1338,arcade,12,12000,1338,84,strong fun signal,11,10,46702.333,4.417,12.667,0.000,4.583,0.695958,0.105584,1.000000,25.000,20.000,0.000,15.000,10.000,8.000,5.000,0.972
3,arcade,1339,arcade,12,12000,1339,83,strong fun signal,8,11,41649.833,3.833,11.000,0.000,4.500,0.691716,0.099826,1.000000,23.958,20.000,0.000,15.000,10.000,8.000,5.000,1.167
4,arcade,1340,arcade,12,12000,1340,85,strong fun signal,8,11,51118.917,4.667,13.167,0.250,4.583,0.694476,0.108599,1.000000,25.000,20.000,0.625,15.000,10.000,8.000,5.000,0.972
5,arcade,1341,arcade,12,12000,1341,76,strong fun signal,7,11,34793.083,3.250,8.083,0.000,4.417,0.693937,0.099110,1.000000,20.312,16.167,0.000,15.000,10.000,8.000,5.000,1.361
6,arcade,1342,arcade,12,12000,1342,82,strong fun signal,9,11,43285.167,4.083,11.417,0.000,4.583,0.675670,0.056273,1.000000,25.000,20.000,0.000,15.000,10.000,5.627,5.000,0.972
7,arcade,1343,arcade,12,12000,1343,82,strong fun signal,10,11,39914.250,3.750,11.000,0.167,4.750,0.683070,0.077107,1.000000,23.438,20.000,0.417,15.000,10.000,7.711,5.000,0.583
8,arcade,1344,arcade,12,12000,1344,81,strong fun signal,10,11,47575.500,4.500,13.750,0.167,4.833,0.675474,0.056127,1.000000,25.000,20.000,0.417,15.000,10.000,5.613,5.000,0.389
9,casual,1337,casual,12,12000,1337,69,promising,8,5,46946.000,5.167,14.917,0.083,4.250,0.487074,0.069202,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,0.000
10,casual,1338,casual,12,12000,1338,73,promising,9,7,40983.667,4.083,11.250,0.083,3.333,0.516425,0.110502,1.000000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,3.306
