sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
1,arcade,1337,arcade,12,12000,1337,74,promising,11,12,36518.000,3.500,9.667,0.000,4.833,0.672256,0.054776,0.416667,2.083333,1.000000,13000.000,0.620000,21.875,19.333,0.000,15.000,6.720,5.478,5.000,0.389
2,arcade,1338,arcade,12,12000,1338,70,promising,6,11,32172.750,3.000,7.583,0.083,4.083,0.691214,0.093511,0.383333,1.916667,1.000000,13000.000,0.620000,18.750,15.167,0.208,15.000,6.183,8.000,5.000,2.139
3,arcade,1339,arcade,12,12000,1339,79,strong fun signal,10,12,50564.083,4.750,13.833,0.250,5.167,0.674315,0.056423,0.500000,2.500000,1.000000,13000.000,0.620000,25.000,20.000,0.625,15.000,8.065,5.642,5.000,0.000
4,arcade,1340,arcade,12,12000,1340,83,strong fun signal,9,11,46671.667,4.333,12.333,0.167,4.583,0.694621,0.107630,0.533333,2.666667,1.000000,13000.000,0.620000,25.000,20.000,0.417,15.000,8.602,8.000,5.000,0.972
5,arcade,1341,arcade,12,12000,1341,72,promising,8,12,35899.250,3.417,8.500,0.000,4.667,0.677728,0.055885,0.433333,2.166667,1.000000,13000.000,0.620000,21.354,17.000,0.000,15.000,6.989,5.589,5.000,0.778
6,arcade,1342,arcade,12,12000,1342,78,strong fun signal,8,12,40277.083,3.833,9.500,0.083,4.500,0.673675,0.057038,0.500000,2.500000,1.000000,13000.000,0.620000,23.958,19.000,0.208,15.000,8.065,5.704,5.000,1.167
7,arcade,1343,arcade,12,12000,1343,71,promising,7,10,31652.667,3.000,7.917,0.083,4.000,0.686678,0.078910,0.366667,1.833333,1.000000,13000.000,0.620000,18.750,15.833,0.208,15.000,5.914,7.891,5.000,2.333
8,arcade,1344,arcade,12,12000,1344,59,promising,7,12,25276.000,2.417,6.083,0.000,4.250,0.678702,0.053475,0.300000,1.500000,1.000000,13000.000,0.620000,15.104,12.167,0.000,15.000,4.839,5.347,5.000,1.750
9,casual,1337,casual,12,12000,1337,70,promising,8,5,39285.167,4.250,11.583,0.250,3.917,0.490192,0.070768,0.516667,2.583333,1.000000,9000.000,0.460000,22.000,14.000,0.875,10.000,8.000,6.000,9.000,0.000
10,casual,1338,casual,12,12000,1338,64,promising,7,7,30128.833,3.250,8.333,0.000,3.500,0.526825,0.119920,0.400000,2.000000,1.000000,9000.000,0.460000,17.875,11.667,0.000,10.000,6.957,6.000,9.000,2.125
11,casual,1339,casual,12,12000,1339,66,promising,8,10,36581.500,3.750,9.583,0.000,3.833,0.456314,0.053924,0.466667,2.333333,1.000000,9000.000,0.460000,20.625,13.417,0.000,10.000,8.000,5.392,9.000,0.000
12,casual,1340,casual,12,12000,1340,73,promising,8,2,30989.667,3.500,9.333,0.167,2.583,0.516695,0.103976,0.383333,1.916667,1.000000,9000.000,0.460000,19.250,13.067,0.583,10.000,6.667,6.000,9.000,8.618
13,casual,1341,casual,12,12000,1341,68,promising,7,8,32991.500,3.667,9.417,0.333,3.750,0.505117,0.091227,0.466667,2.333333,1.000000,9000.000,0.460000,20.167,13.183,1.167,10.000,8.000,6.000,9.000,0.354
14,casual,1342,casual,12,12000,1342,55,promising,6,6,21477.167,2.250,5.333,0.083,3.083,0.538785,0.130160,0.266667,1.333333,1.000000,9000.000,0.460000,12.375,7.467,0.292,10.000,4.638,6.000,9.000,5.076
15,casual,1343,casual,12,12000,1343,69,promising,8,3,27606.750,3.167,8.167,0.000,2.583,0.517420,0.106878,0.366667,1.833333,1.000000,9000.000,0.460000,17.417,11.433,0.000,10.000,6.377,6.000,9.000,8.618
16,casual,1344,casual,12,12000,1344,71,promising,9,7,41670.500,4.417,11.167,0.083,3.500,0.504369,0.093883,0.550000,2.750000,1.000000,9000.000,0.460000,22.000,14.000,0.292,10.000,8.000,6.000,9.000,2.125
17,survival,1337,survival,12,12000,1337,66,promising,8,1,34705.667,3.917,9.833,0.083,3.083,0.535590,0.100953,0.466667,2.333333,1.000000,7800.000,0.420000,27.417,11.800,0.167,8.000,8.000,6.000,5.000,0.000
18,survival,1338,survival,12,12000,1338,66,promising,8,4,35639.750,3.833,10.250,0.000,3.250,0.503367,0.091202,0.450000,2.250000,1.000000,7800.000,0.420000,26.833,12.000,0.000,8.000,8.000,6.000,5.000,0.000
19,survival,1339,survival,12,12000,1339,67,promising,8,5,34823.250,4.000,10.417,0.000,3.333,0.517330,0.076221,0.533333,2.666667,1.000000,7800.000,0.420000,28.000,12.000,0.000,8.000,8.000,6.000,5.000,0.000
20,survival,1340,survival,12,12000,1340,59,promising,7,2,26737.500,2.917,7.417,0.167,2.667,0.573950,0.143117,0.350000,1.750000,1.000000,7800.000,0.420000,20.417,8.900,0.333,8.000,6.667,6.000,5.000,4.167
21,survival,1341,survival,12,12000,1341,57,promising,8,7,26881.833,3.083,8.000,0.000,3.250,0.509178,0.067537,0.383333,1.916667,1.000000,7800.000,0.420000,21.583,9.600,0.000,8.000,7.302,6.000,5.000,0.000
22,survival,1342,survival,12,12000,1342,57,promising,7,5,28619.083,3.083,7.833,0.083,4.083,0.559761,0.125631,0.383333,1.916667,1.000000,7800.000,0.420000,21.583,9.400,0.167,8.000,7.302,6.000,5.000,0.000
