sweep_index,requested_profile,requested_seed,profile,runs,max_ticks_per_run,seed,fun_score,fun_label,max_round_reached,game_over_runs,avg_score,avg_rounds,avg_crushes,avg_items,avg_deaths,active_ratio,direction_change_rate,stage_variety_ratio,stage_unique_per_run,stage_coverage_ratio,score_target,stage_variety_target_ratio,comp_rounds,comp_crushes,comp_items,comp_score,comp_stages,comp_agency,comp_activity,comp_challenge
1,arcade,1337,arcade,12,12000,1337,45,needs tuning,5,2,22156.500,2.000,3.417,0.000,1.250,0.674350,0.053359,0.116667,0.583333,0.800000,42000.000,0.620000,12.500,6.833,0.000,7.913,1.882,5.336,5.000,5.250
2,arcade,1338,arcade,12,12000,1338,38,needs tuning,4,4,16630.417,1.500,2.500,0.000,1.583,0.671334,0.054110,0.050000,0.250000,0.400000,42000.000,0.620000,9.375,5.000,0.000,5.939,0.806,5.411,5.000,6.028
3,arcade,1339,arcade,12,12000,1339,34,weak fun signal,4,2,16170.667,1.417,2.167,0.000,0.833,0.673493,0.051648,0.033333,0.166667,0.400000,42000.000,0.620000,8.854,4.333,0.000,5.775,0.538,5.165,5.000,4.278
4,arcade,1340,arcade,12,12000,1340,42,needs tuning,4,3,18613.167,1.667,2.667,0.000,1.417,0.723715,0.173325,0.083333,0.416667,0.800000,42000.000,0.620000,10.417,5.333,0.000,6.648,1.344,8.000,5.000,5.639
5,arcade,1341,arcade,12,12000,1341,47,needs tuning,6,2,22610.333,2.083,3.750,0.000,1.417,0.678015,0.057536,0.150000,0.750000,1.000000,42000.000,0.620000,13.021,7.500,0.000,8.075,2.419,5.754,5.000,5.639
6,arcade,1342,arcade,12,12000,1342,35,needs tuning,4,1,16905.667,1.500,2.083,0.000,1.000,0.674854,0.053654,0.050000,0.250000,0.600000,42000.000,0.620000,9.375,4.167,0.000,6.038,0.806,5.365,5.000,4.667
7,arcade,1343,arcade,12,12000,1343,33,weak fun signal,4,4,13661.833,1.250,1.917,0.000,1.417,0.678642,0.053703,0.050000,0.250000,0.400000,42000.000,0.620000,7.812,3.833,0.000,4.879,0.806,5.370,5.000,5.639
8,arcade,1344,arcade,12,12000,1344,34,weak fun signal,5,5,12995.000,1.167,2.000,0.000,2.000,0.679343,0.052822,0.066667,0.333333,0.800000,42000.000,0.620000,7.292,4.000,0.000,4.641,1.075,5.282,5.000,7.000
9,casual,1337,casual,12,12000,1337,57,promising,7,1,21087.500,2.083,4.417,0.167,1.167,0.507075,0.090602,0.166667,0.833333,1.000000,36000.000,0.460000,11.458,6.183,0.583,5.858,2.899,6.000,9.000,15.347
10,casual,1338,casual,12,12000,1338,43,needs tuning,4,0,15616.667,1.500,2.250,0.000,0.667,0.566448,0.163748,0.050000,0.250000,0.600000,36000.000,0.460000,8.250,3.150,0.000,4.338,0.870,6.000,9.000,11.806
11,casual,1339,casual,12,12000,1339,49,needs tuning,7,3,16952.833,1.667,3.167,0.000,1.083,0.470774,0.053240,0.083333,0.416667,1.000000,36000.000,0.460000,9.167,4.433,0.000,4.709,1.449,5.324,9.000,14.757
12,casual,1340,casual,12,12000,1340,62,promising,7,1,23992.000,2.583,5.417,0.083,1.083,0.497376,0.084196,0.200000,1.000000,0.800000,36000.000,0.460000,14.208,7.583,0.292,6.664,3.478,6.000,9.000,14.757
